Scientific name,Scientific name modif,English,Chinese,Chinese (Traditional),Czech,Danish,Dutch,Estonian,Finnish,French,French_modif,German,Hungarian,Italian,Japanese,Lithuanian,Norwegian,Polish,Portuguese,Russian,Slovak,Spanish,Swedish
Sturnia malabarica,Sturnia malabarica,Chestnut-tailed Starling,????,????,?pa?ek ?edohlav?,Gr?hovedet St?r,Grijskopspreeuw,0,harmaasiipikottarainen,Étourneau à tête grise,Étourneau à tête grise,Graukopfstar,szürkefej? seregély,Storno codacastana,????????,Rudauodegis varn?nas,Gr?hodest?r,szpak szarog?owy,Estorninho-de-malabar,??????????? ???????,?korec sivohlav?,Estornino Malabar,Gr?huvad stare
Sturnia erythropygia,Sturnia erythropygia,White-headed Starling,????,????,?pa?ek b?lohlav?,Andamanst?r,Andamanenspreeuw,0,andamaanienkottarainen,Étourneau à tête blanche,Étourneau à tête blanche,Andamanenstar,andamani seregély,Storno testabianca,?????????,Baltagalvis varn?nas,Hvithodest?r,szpak bia?og?owy,0,??????????? ???????,?korec bielohlav?,Estornino Cabeciblanco,Andamanstare
Sturnia blythii,Sturnia blythii,Malabar Starling,?????,?????,0,0,Witkopspreeuw,0,0,Étourneau de Malabar,Étourneau de Malabar,0,Blyth-seregély,0,0,0,Hvithettest?r,szpak rdzawobrzuchy,0,0,?korec malabársky,0,0
Sturnia pagodarum,Sturnia pagodarum,Brahminy Starling,????,????,?pa?ek pagodov?,Pagodest?r,Pagodespreeuw,0,bramiinikottarainen,Étourneau des pagodes,Étourneau des pagodes,Pagodenstar,pagodaseregély,Storno bramino,???????,Juodagalvis varn?nas,Pagodest?r,szpak brami?ski,0,?????????? ???????,?korec pagodov?,Estornino de las Pagodas,Pagodstare
Sturnornis albofrontatus,Sturnornis albofrontatus,White-faced Starling,????,????,?pa?ek srílansk?,Hvidhovedet St?r,Maskerspreeuw,0,srilankankottarainen,Étourneau de Ceylan,Étourneau de Ceylan,Greisenstar,?sz seregély,Storno facciabianca,????????,Baltaskruostis varn?nas,Hvitmaskest?r,szpak bia?olicy,0,?????????? ???????,?korec bielolíci,Estornino Cingalés,Vithuvad stare
Leucopsar rothschildi,Leucopsar rothschildi,Bali Myna,????,???????,majna Rothschildova,Balist?r,Balispreeuw,0,balinkottarainen,Étourneau de Rothschild,Étourneau de Rothschild,Balistar,Bali-seregély,Maina di Bali,????????,Balinis varn?nas,Balist?r,szpak balijski,Mainá-de-rothschild,????????? ???????,?korec biely,Estornino de Bali,Balistare
Fregilupus varius,Fregilupus varius,Hoopoe Starling,?????,???????,?pa?ek dudkovit?,Réunionst?r,Hopspreeuw,0,réunioninkottarainen,Étourneau de Bourbon,Étourneau de Bourbon,Réunionstar,búbos seregély,Storno di Reunion,????????,Kukutinis varn?nas,Rèunionst?r,szpak reunio?ski,Huppe,???????????? ???????? ???????,?korec réunionsk?,Estronino de Reunión,Réunionstare
Necropsar rodericanus,Necropsar rodericanus,Rodrigues Starling,????,???????,?pa?ek rodriguezsk?,Rodrigues-st?r,Rodriguesspreeuw,0,rodriguesinkottarainen,Étourneau de Rodrigues,Étourneau de Rodrigues,Rodriguesstar,rodriguezi seregély,Storno di Rodriguez,?????????,0,Rodriguesst?r,szpak maskare?ski,0,0,?korec rodriguesk?,Estornino de Rodrigues,Rodriguesstare
Pastor roseus,Sturnus roseus,Rosy Starling,????,????,?pa?ek r??ov?,Rosenst?r,Roze Spreeuw,roosa-kuldnokk,punakottarainen,Étourneau roselin,Étourneau roselin,Rosenstar,pásztormadár,Storno roseo,????????,Ro?inis varn?nas,Rosenst?r,pasterz,Estorninho-rosado,??????? ???????,pastier ru?ov?,Estornino Rosado,Rosenstare
Sturnus vulgaris,Sturnus vulgaris,Common Starling,????,??????????,?pa?ek obecn?,St?r,Spreeuw,kuldnokk,kottarainen,Étourneau sansonnet,Étourneau sansonnet,Star,seregély,Storno,??????,Paprastasis varn?nas,St?r,szpak (zwyczajny),Estorninho-malhado,???????,?korec oby?ajn?,Estornino Pinto,Stare
Sturnus unicolor,Sturnus unicolor,Spotless Starling,????,????,?pa?ek ?ern?,Ensfarvet St?r,Zwarte Spreeuw,ibeeria kuldnokk,mustakottarainen,Étourneau unicolore,Étourneau unicolore,Einfarbstar,egyszín? seregély,Storno nero,????????,Vienaspalvis varn?nas,Middelhavsst?r,szpak jednobarwny,Estorninho-preto,?????? ???????,?korec jednofarebn?,Estornino Negro,Svartstare
Creatophora cinerea,Creatophora cinerea,Wattled Starling,????,????,?pa?ek lalo?nat?,Lappest?r,Lelspreeuw,0,helttakottarainen,Étourneau caronculé,Étourneau caronculé,Lappenstar,lebenyes seregély,Storno caruncolato,???????,Skiauter?tasis varn?nas,Flikst?r,szpak ozdobny,Estorninho-carunculado,??????? ???????,?korec lalo?nat?,Estornino Carunculado,Flikstare
Notopholia corrusca,Notopholia corrusca,Black-bellied Starling,?????,?????,leskoptev ?ernob?ichá,Sortbuget Glansst?r,Zwartbuikglansspreeuw,0,mustavatsakottarainen,Choucador à ventre noir,Choucador à ventre noir,Schwarzbauch-Glanzstar,feketehasú fényseregély,Storno splendente pancianera,????????,Juodakr?tis blizgusis varn?nas,Svartbukglansst?r,b?yszczak czarnobrzuchy,Estorninho-de-barriga-preta,??????????? ????????? ???????,liskavec ?iernobruch?,Estornino Ventrinegro,Svartbukad glansstare
Hylopsar purpureiceps,Hylopsar purpureiceps,Purple-headed Starling,?????,?????,leskoptev fialovohlavá,Fl?jlsglansst?r,Purperkopglansspreeuw,0,purppurapääkottarainen,Choucador à tête pourprée,Choucador à tête pourprée,Samtglanzstar,selymes fényseregély,Storno splendente testaviola,???????????,Raudongalvis blizgusis varn?nas,Purpurhodeglansst?r,b?yszczak purpurowog?owy,Estorninho-de-cabeça-purpura,????????? ????????? ???????,liskavec zamatov?,Estornino Cabecipúrpura,Purpurhuvad glansstare
Hylopsar cupreocauda,Hylopsar cupreocauda,Copper-tailed Starling,?????,?????,leskoptev m?d?noocasá,Kobberhaleglansst?r,Koperstaartglansspreeuw,0,kuparipyrstökottarainen,Choucador à queue bronzée,Choucador à queue bronzée,Kupferglanzstar,rézfény? fényseregély,Storno splendente codarame,????????,Rusvauodegis blizgusis varn?nas,Kobberhaleglansst?r,b?yszczak miedzianosterny,0,?????? ????????? ???????,liskavec medenochvost?,Estornino Colicobrizo,Kopparstjärtglansstare
Lamprotornis nitens,Lamprotornis nitens,Cape Starling,?????,?????,leskoptev savanová,R?dskuldret Glansst?r,Roodschouderglansspreeuw,0,turkoosikottarainen,Choucador à épaulettes rouges,Choucador à épaulettes rouges,Rotschulter-Glanzstar,vörösvállú fényseregély,Storno splendente del Capo,????????,Raudonpetis blizgusis varn?nas,Gr?nnglansst?r,b?yszczak l?ni?cy,Estorninho-metálico,???????????? ????????? ???????,liskavec akáciov?,Estornino de El Cabo,Rödskuldrad glansstare
Lamprotornis chalybaeus,Lamprotornis chalybaeus,Greater Blue-eared Starling,?????,??????,leskoptev kovová,Bl??ret Glansst?r,Groenstaartglansspreeuw,0,kyläloistokottarainen,Choucador à oreillons bleus,Choucador à oreillons bleus,Grünschwanz-Glanzstar,zöldfarkú fényseregély,Storno splendente guanceblu maggiore,???????,M?lynausis blizgusis varn?nas,Bl??reglansst?r,b?yszczak stalowy,Estorninho-grande-d'orelha-azul,???????? ????????? ???????,liskavec kovov?,Estornino Orejiazul,Bl?kindad glansstare
Lamprotornis chloropterus,Lamprotornis chloropterus,Lesser Blue-eared Starling,??????,??????,leskoptev malá,Nordlig Miomboglansst?r,Noordelijke Blauwoorglansspreeuw,0,purppuraperäkottarainen,Choucador de Swainson,Choucador de Swainson,Messingglanzstar,zöldszárnyú fényseregély,Storno splendente guanceblu minore,????????,Sveinsono blizgusis varn?nas,Sm?glansst?r,b?yszczak niebieskouchy,Melro-metálico-menor,????????? ????????? ???????,liskavec modrosluch?,Estornino de Swainson,Mindre glansstare
Lamprotornis elisabeth,Lamprotornis elisabeth,Miombo Blue-eared Starling,???????,???????,0,Sydlig Miomboglansst?r,Zuidelijke Blauwoorglansspreeuw,0,0,Choucador élisabeth,Choucador élisabeth,Elisabethglanzstar,déli zöldszárnyú fényseregély,Storno orecchie blu meridionale,0,Pietinis ?vilgantysis varn?nas,0,b?yszczak zielonawy,Estorninho-pequeno-d'orelha-azul,?????????? ????????? ???????,liskavec ?krabo?kov?,0,Miomboglansstare
Lamprotornis chalcurus,Lamprotornis chalcurus,Bronze-tailed Starling,?????,?????,leskoptev bronzová,Bronzehaleglansst?r,Bronsstaartglansspreeuw,0,pronssipyrstökottarainen,Choucador à queue violette,Choucador à queue violette,Erzglanzstar,szenegáli fényseregély,Storno splendente codabronzo,????????,Trumpauodegis blizgusis varn?nas,Bronsehaleglansst?r,b?yszczak spi¿owosterny,Melro-metálico-rabeta,??????????????? ????????? ???????,liskavec pôvabn?,Estornino Colibronceado,Bronsstjärtsglansstare
Lamprotornis splendidus,Lamprotornis splendidus,Splendid Starling,????,?????,leskoptev skvostná,Pragtglansst?r,Prachtglansspreeuw,0,samettisiipikottarainen,Choucador splendide,Choucador splendide,Prachtglanzstar,fehérszem? fényseregély,Storno splendente splendido,???????,Puikusis blizgusis varn?nas,Edelglansst?r,b?yszczak wspania?y,Melro-metálico-esplêndido,???????????? ????????? ???????,liskavec nádhern?,Estornino Espléndido,Praktglansstare
Lamprotornis ornatus,Lamprotornis ornatus,Principe Starling,????,?????,leskoptev ozdobná,Príncipeglansst?r,Principeglansspreeuw,0,principenloistokottarainen,Choucador de Principé,Choucador de Principé,Prinzenglanzstar,hercegi fényseregély,Storno splendente di Principe,?????????,Puo?nusis blizgusis varn?nas,Príncipeglansst?r,b?yszczak ozdobny,Estorninho-do-príncipe,?????????? ????????? ???????,liskavec ozdobn?,Estornino de Príncipe,Principestare
Lamprotornis iris,Lamprotornis iris,Emerald Starling,????,????,leskoptev smaragdová,Smaragdglansst?r,Emeraldspreeuw,0,guineanloistokottarainen,Choucador iris,Choucador iris,Schillerglanzstar,Schiller-fényseregély,Storno smeraldino,?????????,Smaragdinis blizgusis varn?nas,Irisglansst?r,b?yszczak t?czowy,0,?????????? ????????? ???????,liskavec smaragdov?,Estornino Esmeralda,Smaragdstare
Lamprotornis purpureus,Lamprotornis purpureus,Purple Starling,????,?????,leskoptev purpurová,Purpurglansst?r,Purperglansspreeuw,0,viikunakottarainen,Choucador pourpré,Choucador pourpré,Purpurglanzstar,ibolyás fényseregély,Storno splendente purpureo,??????????,Purpurinis blizgusis varn?nas,Purpurglansst?r,b?yszczak purpurowy,Melro-metálico-cardeal,????????? ????????? ???????,liskavec purpurov?,Estornino Purpúreo,Purpurglansstare
Lamprotornis purpuroptera,Lamprotornis purpuroptera,Rüppell's Starling,?????,??????,leskoptev prou?koocasá,Bl?gr?n Glansst?r,Blauwe Langstaartglansspreeuw,0,pronssipääkottarainen,Choucador de Rüppell,Choucador de Rüppell,Schweifglanzstar,uszályos fényseregély,Storno splendente di Rüppell,????????,Purpurauodegis blizgusis varn?nas,Fiolettglansst?r,b?yszczak purpurowosterny,0,????????? ??????? ????????,liskavec fialov?,Estornino de Rüppell,Rüppells glansstare
Lamprotornis caudatus,Lamprotornis caudatus,Long-tailed Glossy Starling,?????,??????,leskoptev dlouhoocasá,Langhalet Glansst?r,Groene Langstaartglansspreeuw,0,pitkäpyrstökottarainen,Choucador à longue queue,Choucador à longue queue,Langschwanz-Glanzstar,hosszúfarkú fényseregély,Storno splendente codalunga,???????,Ilgauodegis blizgusis varn?nas,Langhaleglansst?r,b?yszczak d?ugosterny,Melro-metálico-rabilongo,????????????? ????????? ???????,liskavec dlhochvost?,Estornino Colilargo,L?ngstjärtad glansstare
Lamprotornis regius,Lamprotornis regius,Golden-breasted Starling,?????,?????,leskoptev zlatoprsá,Kongeglansst?r,Koningsglansspreeuw,0,paratiisikottarainen,Choucador royal,Choucador royal,Königsglanzstar,királycs?ricse,Storno pettodorato,???????????,Karali?kasis blizgusis varn?nas,Kongest?r,b?yszczak królewski,Melro-metálico-real,??????????? ?????,liskavec krá?ovsk?,Estornino Pechidorado,Guldbröstad glansstare
Lamprotornis mevesii,Lamprotornis mevesii,Meves's Starling,?????,?????,leskoptev baobabová,Mopaneglansst?r,Meves' Langstaartglansspreeuw,0,peitsipyrstökottarainen,Choucador de Meves,Choucador de Meves,Mevesglanzstar,Meves-fényseregély,Storno splendente di Meves,??????????,Meveso blizgusis varn?nas,Mopaneglansst?r,b?yszczak ciemny,Estorninho-rabilongo,??????? ????????? ???????,liskavec tmav?,Estornino de Meves,Meves glansstare
Lamprotornis australis,Lamprotornis australis,Burchell's Starling,????,????,leskoptev jihoafrická,K?mpeglansst?r,Grote Glansspreeuw,0,raitapyrstökottarainen,Choucador de Burchell,Choucador de Burchell,Riesenglanzstar,óriás-fényseregély,Storno splendente di Burchell,????????,Didysis blizgusis varn?nas,Storglansst?r,b?yszczak kr?py,Estorninho-de-burchell,??????? ????????? ???????,liskavec ve?kokrídly,Estornino de Burchell,Större glansstare
Lamprotornis acuticaudus,Lamprotornis acuticaudus,Sharp-tailed Starling,?????,?????,leskoptev ostroocasá,Kilehaleglansst?r,Pijlstaartglansspreeuw,0,suippopyrstökottarainen,Choucador à queue fine,Choucador à queue fine,Keilschwanz-Glanzstar,nyílfarkú fényseregély,Storno splendente codaguzza,????????,Plei?tauodegis blizgusis varn?nas,Kilehaleglansst?r,b?yszczak ostrosterny,Estorninho-de-cauda-acuminada,???????????? ????????? ???????,liskavec ostrochvost?,Estornino Colifino,Spetsstjärtad glansstare
Lamprotornis superbus,Lamprotornis superbus,Superb Starling,?????,?????,leskoptev nádherná,Trefarvet Glansst?r,Driekleurige Glansspreeuw,0,loistokottarainen,Choucador superbe,Choucador superbe,Dreifarben-Glanzstar,pompás fényseregély,Storno superbo,????????,Rusvapilvis blizgusis varn?nas,Praktst?r,b?yszczak rudobrzuchy,Melro-soberbo,??????????? ?????,liskavec pestr?,Estornino Soberbio,Trefärgad glansstare
Lamprotornis hildebrandti,Lamprotornis hildebrandti,Hildebrandt's Starling,?????,??????,leskoptev Hildebrandtova,Masaiglansst?r,Hildebrandts Glansspreeuw,0,keniankottarainen,Choucador de Hildebrandt,Choucador de Hildebrandt,Hildebrandtglanzstar,Hildebrandt-fényseregély,Storno di Hildebrandt,????????,Hildebranto blizgusis varn?nas,Masaist?r,b?yszczak pó?obro¿ny,Estorninho-metálico-de-hildebrandt,????? ????????????,liskavec ?ervenook?,Estornino de Hildebrant,Hildebrandts glansstare
Lamprotornis shelleyi,Lamprotornis shelleyi,Shelley's Starling,?????,??????,leskoptev v?chodoafrická,Sort?ret Glansst?r,Shelleys Glansspreeuw,0,vadikottarainen,Choucador de Shelley,Choucador de Shelley,Shelleyglanzstar,Shelley-fényseregély,Storno di Shelley,????????????,Somalinis blizgusis varn?nas,Akasiest?r,b?yszczak strojny,0,????? ?????,liskavec savanov?,Estornino de Shelley,Svartörad glansstare
Lamprotornis pulcher,Lamprotornis pulcher,Chestnut-bellied Starling,?????,?????,leskoptev ocelová,Brunbuget Glansst?r,Roodbuikglansspreeuw,0,sahelinkottarainen,Choucador à ventre roux,Choucador à ventre roux,Rotbauch-Glanzstar,vöröshasú fényseregély,Storno panciacastana,?????????,Rusvasturplis blizgusis varn?nas,Kastanjebukst?r,b?yszczak kasztanowobrzuchy,Estorninho-de-barriga-castanha,???????????? ?????,liskavec sahelsk?,Estornino Ventrirrufo,Brunbukad glansstare
Lamprotornis unicolor,Lamprotornis unicolor,Ashy Starling,????,?????,leskoptev popelavá,Ensfarvet Glansst?r,Grijze Glansspreeuw,0,tuhkakottarainen,Choucador cendré,Choucador cendré,Grauglanzstar,egyszín? cs?ricse,Storno cenerino,???????????,0,Askest?r,b?yszczak jednobarwny,0,????? ?????,liskavec popolav?,Estornino Cenizo,Enfärgad glansstare
Lamprotornis fischeri,Lamprotornis fischeri,Fischer's Starling,?????,?????,leskoptev t?íbarvá,Askest?r,Fischers Glansspreeuw,0,harmaakottarainen,Spréo de Fischer,Spréo de Fischer,Fischerglanzstar,Fischer-fényseregély,Storno di Fischer,??????????,0,Gr?brystst?r,b?yszczak szarawy,0,??????? ?????,liskavec bled?,Estornino de Fischer,Gr?bröstad stare
Lamprotornis bicolor,Lamprotornis bicolor,Pied Starling,?????,?????,leskoptev dvoubarvá,Tofarvet St?r,Tweekleurige Glansspreeuw,0,kapinkottarainen,Spréo bicolore,Spréo bicolore,Zweifarb-Glanzstar,kétszín? fényseregély,Storno bianconero africano,??????????,0,Karoost?r,b?yszczak brunatny,Estorninho-de-ventre-branco,??????????? ?????,liskavec dvojfarebn?,Estornino Bicolor,Afrikansk svartvit stare
Lamprotornis albicapillus,Lamprotornis albicapillus,White-crowned Starling,?????,?????,leskoptev b?lohlavá,Hvidkronet St?r,Witkruinglansspreeuw,0,valkolakkikottarainen,Spréo à calotte blanche,Spréo à calotte blanche,Weißscheitel-Glanzstar,fehérhomlokú fényseregély,Storno capobianco,???????,0,Hvitkronest?r,b?yszczak bia?og?owy,0,???????????? ?????,liskavec ?iapo?kat?,Estornino Coroniblanco,Vitkronad stare
Hartlaubius auratus,Hartlaubius auratus,Madagascan Starling,????,???????,?pa?ek madagaskarsk?,Madagaskarst?r,Madagaskarspreeuw,0,madagaskarinkottarainen,Étourneau malgache,Étourneau malgache,Madagaskarstar,madagaszkári seregély,Storno del Madagascar,??????????,0,Madagaskarst?r,malgaszczyk,0,?????????????? ????????????? ???????,liskavec madagaskarsk?,Estornino Malgache,Madagaskarstare
Cinnyricinclus leucogaster,Cinnyricinclus leucogaster,Violet-backed Starling,?????,?????,leskoptev b?lob?ichá,Ametystst?r,Amethistspreeuw,0,orvokkikottarainen,Spréo améthyste,Spréo améthyste,Amethystglanzstar,ametiszt fényseregély,Storno ametista,????????,Trumpauodegis varn?nas,Ametystst?r,ametyszczak,Estorinho-de-dorso-violeta,??????????? ?????????????? ???????,liskavec bielobruch?,Estornino Amatista,Ametiststare
Onychognathus morio,Onychognathus morio,Red-winged Starling,????,??????,?pa?ek rudok?ídl?,R?dvinget Sortst?r,Roodvleugelspreeuw,0,kalliorakkeli,Rufipenne morio,Rufipenne morio,Rotschwingenstar,r?tszárnyú dalosseregély,Storno alirosse,????????,Raudonsparnis ilgauodegis varn?nas,R?dvingest?r,czarnotek rudoskrzyd?y,Estorninho-d'asa-castanha,???????????? ????????????? ???????,liskavec moriónov?,Estornino Alirrojo,Rödvingad glansstare
Onychognathus tenuirostris,Onychognathus tenuirostris,Slender-billed Starling,??????,??????,?pa?ek tenkozob?,Tyndn?bbet Sortst?r,Kaneelvleugelspreeuw,0,hentorakkeli,Rufipenne à bec fin,Rufipenne à bec fin,Zimtflügelstar,vékonycs?r? dalosseregély,Storno beccosottile,????????,Liaunasnapis ilgauodegis varn?nas,Smalnebbst?r,czarnotek cienkodzioby,Estorninho-de-bico-fino,??????????? ????????????? ???????,liskavec tenkozob?,Estornino Picofino,Smalnäbbad glansstare
Onychognathus fulgidus,Onychognathus fulgidus,Chestnut-winged Starling,????,????,?pa?ek pralesní,Sortst?r,Kastanjevleugelspreeuw,0,metsärakkeli,Rufipenne de forêt,Rufipenne de forêt,Kastanienflügelstar,gesztenyebarnaszárnyú dalosseregély,Storno alicastane,????????,Rudasparnis ilgauodegis varn?nas,Gr?nnhodest?r,czarnotek kasztanowoskrzyd?y,Estorninho-do-bosque,??????????????? ????????????? ???????,liskavec hnedokrídly,Estornino Alirrufo,S?o Toméglansstare
Onychognathus walleri,Onychognathus walleri,Waller's Starling,??????,??????,?pa?ek hvízdav?,Korthalet St?r,Wallers Spreeuw,0,töpörakkeli,Rufipenne de Waller,Rufipenne de Waller,Wallerstar,Waller-dalosseregély,Storno di Waller,???????,Valerio ilgauodegis varn?nas,Fjellskogst?r,czarnotek krótkosterny,Estorninho-de-waller,???????? ????????????? ???????,liskavec krátkozob?,Estornino de Waller,Wallers glansstare
Onychognathus blythii,Onychognathus blythii,Somali Starling,???????,???????,?pa?ek somálsk?,Somalisortst?r,Somalische Spreeuw,0,somalianrakkeli,Rufipenne de Blyth,Rufipenne de Blyth,Somalistar,szomáliai dalosseregély,Storno di Somalia,????????,Somalinis ilgauodegis varn?nas,Somalist?r,czarnotek somalijski,0,??????????? ????????????? ???????,liskavec somálsky,Estornino Somalí,Somaliglansstare
Onychognathus frater,Onychognathus frater,Socotra Starling,??????,????????,?pa?ek sokotersk?,Socotrasortst?r,Socotraspreeuw,0,sokotranrakkeli,Rufipenne de Socotra,Rufipenne de Socotra,Sokotrastar,socotrai dalosseregély,Storno di Socotra,????????,Sokotrinis ilgauodegis varn?nas,Sokotrast?r,czarnotek sokotrza?ski,0,???????????? ????????????? ???????,liskavec sokotransk?,Estornino de Socotora,Sokotraglansstare
Onychognathus tristramii,Onychognathus tristramii,Tristram's Starling,??????,??????,?pa?ek Tristram?v,Tristrams Sortst?r,Tristrams Spreeuw,jordani kuldnokk,rotkorakkeli,Rufipenne de Tristram,Rufipenne de Tristram,Tristramstar,fuvolázó fényseregély,Storno di Tristram,????????,Rusvasparnis ilgauodegis varn?nas,Klippest?r,czarnotek arabski,Estorninho-de-asa-ruiva,?????????? ????????????? ???????,liskavec roklinov?,Estornino de Tristram,Sinaiglansstare
Onychognathus nabouroup,Onychognathus nabouroup,Pale-winged Starling,??????,????,?pa?ek sv?tlek?ídl?,Lysvinget Sortst?r,Vaalvleugelspreeuw,0,valkosiipirakkeli,Rufipenne nabouroup,Rufipenne nabouroup,Fahlflügelstar,fakószárnyú dalosseregély,Storno alichiare,???????,?viesiasparnis ilgauodegis varn?nas,Blekvingest?r,czarnotek bia?oskrzyd?y,Estorninho-d'asa-pálida,???????????? ????????????? ???????,liskavec naburup,Estornino Naburup,Blekvingad glansstare
Onychognathus salvadorii,Onychognathus salvadorii,Bristle-crowned Starling,??????,??????,?pa?ek p?ílbov?,Paryksortst?r,Borstelkruinspreeuw,0,kyhmyrakkeli,Rufipenne de Salvadori,Rufipenne de Salvadori,Helmstar,sisakos dalosseregély,Storno setoloso,????????,Salvadorio ilgauodegis varn?nas,Parykkst?r,czarnotek pluszog?owy,0,??????????? ????????????? ???????,liskavec ?tetinkat?,Estornino de Salvadori,Hjälmglansstare
Onychognathus albirostris,Onychognathus albirostris,White-billed Starling,??????,??????,?pa?ek b?lozob?,Etiopisk Sortst?r,Witsnavelspreeuw,0,etiopianrakkeli,Rufipenne à bec blanc,Rufipenne à bec blanc,Weißschnabelstar,fehércs?r? dalosseregély,Storno beccobianco,????????,Baltasnapis ilgauodegis varn?nas,Hvitnebbst?r,czarnotek bia?odzioby,0,?????????? ????????????? ???????,liskavec bielozob?,Estornino Piquiblanco,Vitnäbbad glansstare
Onychognathus neumanni,Onychognathus neumanni,Neumann's Starling,??????,???????,?pa?ek skalní,Sahelsortst?r,Neumanns Roodvleugelspreeuw,0,malinrakkeli,Rufipenne de Neumann,Rufipenne de Neumann,Neumannstar,0,Storno di Neumann,0,0,Tykknebbst?r,czarnotek grubodzioby,0,0,liskavec ?ervenokrídly,Estornino de Neumann,Neumanns glansstare
Poeoptera stuhlmanni,Poeoptera stuhlmanni,Stuhlmann's Starling,??????,???????,?pa?ek ?ernomodr?,Bjergst?r,Stuhlmanns Spreeuw,0,kiiltolatvuskottarainen,Rufipenne de Stuhlmann,Rufipenne de Stuhlmann,Stuhlmannstar,Stuhlmann-seregély,Storno di Stuhlmann,??????,?tulmano smailiauodegis varn?nas,Bl?st?r,b?yszczak górski,0,?????????? ???????????? ???????,liskavec modr?,Estornino de Stuhlmann,Stuhlmannstare
Poeoptera kenricki,Poeoptera kenricki,Kenrick's Starling,??????,??????,?pa?ek ke?sk?,?stlig Bjergst?r,Kenricks Spreeuw,0,mustalatvuskottarainen,Rufipenne de Kenrick,Rufipenne de Kenrick,Kenrickstar,Kenrick-seregély,Storno di Kenrick,??????,Kenriko smailiauodegis varn?nas,Bekst?r,b?yszczak czarny,0,???????? ???????????? ???????,liskavec mal?,Estornino de Kenrick,Kenrickstare
Poeoptera lugubris,Poeoptera lugubris,Narrow-tailed Starling,????,????,?pa?ek ostroocas?,Spidshalet Bjergst?r,Spitsstaartspreeuw,0,isolatvuskottarainen,Rufipenne à queue étroite,Rufipenne à queue étroite,Spitzschwanzstar,hegyesfarkú seregély,Storno codastretta,???????,Mi?kinis smailiauodegis varn?nas,Spisshalest?r,b?yszczak smuk?y,Estorninho-de-cauda-fina,?????? ???????????? ???????,liskavec leskl?,Estornino Rabilargo,Smalstjärtad stare
Poeoptera sharpii,Poeoptera sharpii,Sharpe's Starling,?????,?????,leskoptev korunová,Rustbuget St?r,Sharpes Spreeuw,0,rusovatsakottarainen,Spréo de Sharpe,Spréo de Sharpe,Rostbauchstar,rozsdáshasú fényseregély,Storno di Sharpe,????????,?arpo keninis varn?nas,Kanelbukst?r,b?yszczak rdzawobrzuchy,0,??????????? ?????????????? ???????,liskavec horsk?,Estornino de Sharpe,Rostbukad stare
Poeoptera femoralis,Poeoptera femoralis,Abbott's Starling,?????,???????,leskoptev ke?ská,Hvidbuget St?r,Abbotts Spreeuw,0,kobolttikottarainen,Spréo d'Abbott,Spréo d'Abbott,Abbottstar,Abott-fényseregély,Storno di Abbott,????????,Aboto keninis varn?nas,Munkest?r,b?yszczak ¿a?obny,0,?????????????? ??????? ???????,liskavec smúto?n?,Estornino de Abbott,Vitbukad stare
Grafisia torquata,Grafisia torquata,White-collared Starling,????,????,?pa?ek b?lolímcov?,Kravest?r,Witkraagspreeuw,0,valkokauluskottarainen,Rufipenne à cou blanc,Rufipenne à cou blanc,Ringstar,gy?r?s seregély,Storno dal collare,????????,Baltagurklis varn?nas,Hvitbrystst?r,b?yszczak bia?opier?ny,0,????????? ???????,liskavec bieloprs?,Estornino Acollarado,Kragstare
Speculipastor bicolor,Speculipastor bicolor,Magpie Starling,???,????,leskoptev strakatá,Skadeglansst?r,Spiegelspreeuw,0,aavikkokottarainen,Spréo pie,Spréo pie,Spiegelstar,tükrös fényseregély,Storno gazza,????????,?arkinis varn?nas,Skj?rest?r,b?yszczak dwubarwny,0,?????????? ???????,liskavec strakat?,Estornino Urraca,Skatstare
Neocichla gutturalis,Neocichla gutturalis,Babbling Starling,?????,?????,leskoptev b?lok?ídlá,Hvidvinget St?r,Witvleugelspreeuw,0,miombokottarainen,Spréo à gorge noire,Spréo à gorge noire,Weißflügelstar,fehérszárnyú fényseregély,Storno garrulo,???????,Baltasparnis varn?nas,Hvitvingest?r,b?yszczak bia?oskrzyd?y,Estorninho-de-asa-branca,?????????? ???????,liskavec bielokrídly,Estornino Gorjinegro,Vitvingad stare
Rhabdornis mystacalis,Rhabdornis mystacalis,Stripe-headed Rhabdornis,?????,????,brhlovec pruhovan?,Hvidbrystet Kryber,Streepkopkruiper,0,pikkufilippiinienkiipijä,Rhabdornis à tête striée,Rhabdornis à tête striée,Streifenkopf-Trugbaumläufer,csíkosfej? barkósfakúsz,Rabdornis fianchistriati,???????,Raibagalvis filipinis liputis,Stripetreklatrer,filipi?czyk w?saty,Trepadeira-filipina-de-flancos-estriados,????????????? ???????????? ??????,?plhá?ik bielohrdl?,Rabdornis Común,Vitbröstad filippinkrypare
Rhabdornis inornatus,Rhabdornis inornatus,Stripe-breasted Rhabdornis,?????,????,brhlovec prou?koprs?,Brunakket Kryber,Bruinkopkruiper,0,filippiinienkiipijä,Rhabdornis à tête brune,Rhabdornis à tête brune,Braunkopf-Trugbaumläufer,barnafej? barkósfakúsz,Rabdornis pettostriato,?????????,Dry?akr?tis filipininis liputis,Bruntreklatrer,filipi?czyk g?adki,0,??????????? ???????????? ??????,?plhá?ik hnedohlav?,Rabdornis Cabecipardo,Brunnackad filippinkrypare
