Scientific name,Scientific name modif,English,Chinese,Chinese (Traditional),Czech,Danish,Dutch,Estonian,Finnish,French,French_modif,German,Hungarian,Italian,Japanese,Lithuanian,Norwegian,Polish,Portuguese,Russian,Slovak,Spanish,Swedish
Corvus capensis,Corvus capensis,Cape Crow,???,???,vrána africká,Afrikansk R?ge,Kaapse Roek,aafrika künnivares,afrikanmustavaris,Corneille du Cap,Corneille du Cap,Kapkrähe,fokföldi varjú,Corvo del Capo,???????,Kapin? varna,Smalnebbkr?ke,wrona przyl?dkowa,Gralha-do-cabo,??????? ?????,vrana ?tíhlozobá,Cuervo de El Cabo,Kapr?ka
Corvus frugilegus,Corvus frugilegus,Rook,????,?????????,havran polní,R?ge,Roek,künnivares,mustavaris,Corbeau freux,Corbeau freux,Saatkrähe,vetési varjú,Corvo comune,??????,Kovas,Kornkr?ke,gawron (zwyczajny),Gralha-calva,????,havran ?ierny,Graja,R?ka
Corvus brachyrhynchos,Corvus brachyrhynchos,American Crow,???,???,vrána americká,Amerikansk Krage,Amerikaanse Kraai,ameerika vares,amerikanvaris,Corneille d'Amérique,Corneille d'Amérique,Amerikanerkrähe,rövidcs?r? varjú,Corvo americano,???????,Amerikin? varna,Amerikakr?ke,wrona ameryka?ska,Corvo-americano,???????????? ?????,vrana krátkozobá,Cuervo Americano,Amerikansk kr?ka
Corvus caurinus,Corvus caurinus,Northwestern Crow,????,???,vrána severozápadní,Kystkrage,Bairds Kraai,loodevares,rantavaris,Corneille d'Alaska,Corneille d'Alaska,Sundkrähe,amerikai varjú,Corvo del nordovest,????????,Aliaskin? varna,Muslingkr?ke,wrona alaska?ska,0,??????-???????? ?????,vrana alja?ská,Cuervo de Alaska,Kustkr?ka
Corvus imparatus,Corvus imparatus,Tamaulipas Crow,?????,????,vrána mexická,Taumalipaskrage,Mexicaanse Kraai,mehhiko vares,tamaulipasinvaris,Corneille du Mexique,Corneille du Mexique,Mexikanerkrähe,azték varjú,Corvo del Tamaulipas,???????,0,Kvekkekr?ke,wrona meksyka?ska,0,???????????? ?????,vrana mexická,Cuervo Tamaulipeco,Tamaulipaskr?ka
Corvus sinaloae,Corvus sinaloae,Sinaloa Crow,?????,?????,vrána sinalojská,Sinaloakrage,Sinaloakraai,sinaloa vares,meksikonvaris,Corneille du Sinaloa,Corneille du Sinaloa,Sinaloakrähe,Sinaloa varjú,Corvo del Sinaloa,?????????,0,Sinaloakr?ke,wrona l?ni?ca,0,??????????? ?????,vrana hájová,Cuervo Sinaloense,Sinaloakr?ka
Corvus ossifragus,Corvus ossifragus,Fish Crow,??,??,vrána rybí,Fiskekrage,Viskraai,kalavares,kalastajavaris,Corneille de rivage,Corneille de rivage,Fischkrähe,halászvarjú,Corvo pescatore,?????,0,Fiskekr?ke,wrona rybo¿erna,0,?????? ?????,vrana rybárska,Cuervo Pescador,Fiskkr?ka
Corvus palmarum,Corvus palmarum,Hispaniolan Palm Crow,???,???,vrána palmová,Palmekrage,Hispaniolapalmkraai,palmivares,palmuvaris,Corneille palmiste,Corneille palmiste,Palmenkrähe,pálmavarjú,Corvo delle palme di Hispaniola,?????,0,Palmekr?ke,wrona haita?ska,0,????????? ?????,vrana palmová,Cuervo Palmero,Palmkr?ka
Corvus minutus,Corvus minutus,Cuban Palm Crow,?????,????,vrána kubánská,Cubapalmekrage,Cubaanse Palmkraai,0,0,Corneille minute,Corneille minute,Cubanische Palmenkrähe,0,Corvo delle palme di Cuba,0,0,Kubapalmekr?ke,wrona palmowa,0,0,vrana kubánska,0,0
Corvus jamaicensis,Corvus jamaicensis,Jamaican Crow,?????,????,vrána jamajská,Jamaicakrage,Jamaicaanse Kraai,jamaika vares,jamaikanvaris,Corneille de Jamaïque,Corneille de Jamaïque,Jamaikakrähe,jamaicai varjú,Corvo della Giamaica,????????,0,Jamaikakr?ke,wrona jamajska,Corvo-da-jamaica,???????? ?????,vrana jamajská,Cuervo Jamaicano,Jamaikakr?ka
